-------------------
CLASS LEVEL INDICES 
-------------------

CLASE	SO	AreaCl	PerimCl	NobCl	DC	CCl	

2	4625001	0.0058	0.4517	2	0.0034	0.5986	
3	4625001	0.2203	12.5156	43	0.1281	0.1329	
4	4625001	0.1697	6.3453	11	0.0987	0.2302	
5	4625001	0.0556	1.8830	4	0.0323	0.4438	
6	4625001	0.9024	70.2802	281	0.5246	0.0479	
7	4625001	0.3664	86.9650	16	0.2130	0.0249	
2	4625002	0.0175	0.6588	1	0.0101	0.7115	
3	4625002	0.1455	5.0073	10	0.0838	0.2700	
4	4625002	0.1018	3.4555	5	0.0587	0.3274	
6	4625002	1.1349	51.7387	132	0.6540	0.0730	
7	4625002	0.3356	60.8549	16	0.1934	0.0343	
2	4625003	0.0089	0.3841	1	0.0045	0.8729	
3	4625003	0.0570	2.9119	9	0.0288	0.2905	
4	4625003	0.1225	4.1424	6	0.0620	0.2996	
5	4625003	0.0164	0.8148	2	0.0083	0.5576	
6	4625003	1.2172	55.1274	138	0.6159	0.0709	
7	4625003	0.5542	67.1443	13	0.2804	0.0412	
2	4625007	0.0257	1.6179	5	0.0129	0.3515	
3	4625007	0.4637	13.6317	28	0.2324	0.1771	
4	4625007	0.1372	5.7605	12	0.0687	0.2279	
5	4625007	0.0493	0.9679	1	0.0247	0.8132	
6	4625007	0.9610	49.0183	127	0.4816	0.0709	
7	4625007	0.3585	64.5314	18	0.1797	0.0331	
1	4625008	0.2136	5.4652	4	0.0731	0.2998	
2	4625008	0.1052	5.3500	12	0.0360	0.2150	
3	4625008	0.9972	28.3709	49	0.3411	0.1278	
4	4625008	0.0818	4.3352	11	0.0280	0.2338	
5	4625008	0.0226	1.0986	4	0.0077	0.4853	
6	4625008	0.9665	50.1817	132	0.3306	0.0694	
7	4625008	0.5367	87.5946	29	0.1836	0.0309	
1	4625009	0.9649	32.0520	29	0.2433	0.1086	
2	4625009	0.1370	7.2000	15	0.0345	0.1822	
3	4625009	0.5777	21.2980	38	0.1457	0.1271	
4	4625009	0.4318	8.8993	13	0.1089	0.2617	
5	4625009	0.0714	1.6888	2	0.0180	0.5608	
6	4625009	1.0656	57.2487	154	0.2687	0.0639	
7	4625009	0.7177	113.1645	56	0.1810	0.0277	
1	4625010	2.0822	69.2170	60	0.1924	0.0739	
2	4625010	1.0255	33.3303	59	0.0948	0.1093	
3	4625010	2.7716	82.1523	119	0.2562	0.0734	
4	4625010	0.4056	18.3757	33	0.0375	0.1229	
5	4625010	0.1959	8.9469	22	0.0181	0.1754	
6	4625010	1.8758	100.5079	262	0.1734	0.0483	
7	4625010	2.1904	234.1131	90	0.2024	0.0239	
8	4625010	0.2614	13.3700	13	0.0242	0.0000	
